camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,stem_height,stem_angle,stem_length
none,none,none,none,none,none,none,2019-06-11_08-19-01.103,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_08-19-01.103_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_08-19-01.103_0.tif,29,-0.3858279585838318,80.97665876150131
none,none,none,none,none,none,none,2019-06-11_09-19-06.521,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_09-19-06.521_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_09-19-06.521_0.tif,28,0.35446178913116455,89.68376553058624
none,none,none,none,none,none,none,2019-06-11_10-18-58.945,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_10-18-58.945_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_10-18-58.945_0.tif,33,-0.353532999753952,102.04772645235062
none,none,none,none,none,none,none,2019-06-11_11-19-38.020,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_11-19-38.020_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_11-19-38.020_0.tif,40,-0.3657040297985077,113.32590091228485
none,none,none,none,none,none,none,2019-06-11_12-19-01.665,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_12-19-01.665_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_12-19-01.665_0.tif,42,0.32296091318130493,133.4827550649643
none,none,none,none,none,none,none,2019-06-11_13-19-04.041,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_13-19-04.041_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_13-19-04.041_0.tif,43,0.32110685110092163,146.31118214130402
none,none,none,none,none,none,none,2019-06-11_14-19-08.977,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_14-19-08.977_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_14-19-08.977_0.tif,42,0.2903255820274353,161.89696860313416
none,none,none,none,none,none,none,2019-06-11_15-19-02.180,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_15-19-02.180_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_15-19-02.180_0.tif,46,0.2879978120326996,172.34671598672867
none,none,none,none,none,none,none,2019-06-11_16-19-01.241,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_16-19-01.241_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_16-19-01.241_0.tif,51,0.2806012034416199,193.6248904466629
none,none,none,none,none,none,none,2019-06-11_17-19-20.868,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_17-19-20.868_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_17-19-20.868_0.tif,48,0.26795390248298645,200.38224983215332
none,none,none,none,none,none,none,2019-06-11_18-19-02.588,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_18-19-02.588_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_18-19-02.588_0.tif,55,0.26994064450263977,210.86753106117249
none,none,none,none,none,none,none,2019-06-11_19-19-04.316,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_19-19-04.316_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_19-19-04.316_0.tif,3,-1.8042477369308472,1.9142135381698608
none,none,none,none,none,none,none,2019-06-11_20-19-03.144,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_20-19-03.144_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_20-19-03.144_0.tif,62,0.2565036416053772,242.7670258283615
none,none,none,none,none,none,none,2019-06-11_21-19-03.829,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_21-19-03.829_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_21-19-03.829_0.tif,66,0.25013643503189087,260.5096664428711
none,none,none,none,none,none,none,2019-06-11_22-19-04.354,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_22-19-04.354_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_22-19-04.354_0.tif,71,0.24723659455776215,280.7878409028053
none,none,none,none,none,none,none,2019-06-11_23-19-41.083,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-11_23-19-41.083_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-11_23-19-41.083_0.tif,69,0.24176792800426483,301.9091612100601
none,none,none,none,none,none,none,2019-06-12_00-19-05.294,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_00-19-05.294_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_00-19-05.294_0.tif,72,0.2350946068763733,317.9091612100601
none,none,none,none,none,none,none,2019-06-12_01-19-52.509,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_01-19-52.509_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_01-19-52.509_0.tif,78,0.23528723418712616,337.18733566999435
none,none,none,none,none,none,none,2019-06-12_02-19-09.062,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_02-19-09.062_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_02-19-09.062_0.tif,82,0.23355211317539215,362.0512965917587
none,none,none,none,none,none,none,2019-06-12_03-19-14.691,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_03-19-14.691_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_03-19-14.691_0.tif,85,0.23049846291542053,380.2939372062683
none,none,none,none,none,none,none,2019-06-12_04-19-01.977,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_04-19-01.977_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_04-19-01.977_0.tif,90,0.2284267693758011,397.3650048971176
none,none,none,none,none,none,none,2019-06-12_05-19-43.499,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_05-19-43.499_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_05-19-43.499_0.tif,2,-0.0,5.328427076339722
none,none,none,none,none,none,none,2019-06-12_06-19-02.038,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_06-19-02.038_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_06-19-02.038_0.tif,93,0.22169837355613708,439.6076455116272
none,none,none,none,none,none,none,2019-06-12_07-19-04.389,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_07-19-04.389_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_07-19-04.389_0.tif,93,0.21382509171962738,458.6076455116272
none,none,none,none,none,none,none,2019-06-12_08-19-05.045,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_08-19-05.045_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_08-19-05.045_0.tif,94,0.21002881228923798,475.728965818882
none,none,none,none,none,none,none,2019-06-12_09-20-02.277,0,A1,none,none,Pats Wheat Root Growth,002-0001,data\images\Pats Wheat Root Growth_002-0001_A1_2019-06-12_09-20-02.277_0.tif\Pats Wheat Root Growth_002-0001_A1_2019-06-12_09-20-02.277_0.tif,92,0.20257321000099182,499.02185904979706
